Trait,"Trait_Cat","Geneset","Geneset_Type","Geneset_Cat","Geneset_SubCat","Geneset_Cat_Detailed","CNV_Type","Effectsize","se","p_value","FDR_p_value","Effectsize_outside","se_outside","p_value_outside","FDR_p_value_outside"
"Albumin","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.006649841,0.012539074,0.595883805,0.795318114,-0.006021264,0.001511765,6.81e-5,1.35632e-4
"BirthWeight","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-0.002296302,0.010100953,0.820163316,0.91882238,-0.001564611,9.72992e-4,0.107827404,0.130586455
"BirthWeight","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",-0.017151769,0.015883705,0.280217041,0.535387557,-0.005598389,0.001970997,0.004506297,0.006712704
"BMD","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-0.006597862,0.009813761,0.501388826,0.734893333,-0.002682492,9.48769e-4,0.004694021,0.006974783
"BMD","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.002702466,0.015353221,0.860278784,0.938531863,-0.001006732,0.001842392,0.584773091,0.619048419
"BMI","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",-0.004129726,0.011883253,0.728197171,0.871621019,0.013314541,0.001426956,1.06e-20,9.19e-20
"BMI","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-0.013378486,0.007593665,0.078104529,0.248470445,0.00491438,7.40167e-4,3.15e-11,1.29e-10
"Calcium","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-0.003377315,0.008153966,0.678733069,0.842938207,0.001091154,7.94782e-4,0.16978507,0.19921161
"Calcium","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.00950349,0.012714749,0.454799493,0.698152148,-0.004455822,0.001532976,0.003653457,0.005532378
"Cholesterol","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-9.66269e-4,0.007734952,0.900584971,0.957059405,-0.003387258,7.52976e-4,6.85e-6,1.55e-5
"Cholesterol","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.003425006,0.012030031,0.775870579,0.896256102,-0.008204086,0.001451189,1.57e-8,4.93e-8
"Depression","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.002010665,0.001784191,0.259771229,0.513847581,6.35391e-4,1.74068e-4,2.62013e-4,4.7658e-4
"Depression","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.008021013,0.002789642,0.004036833,0.031966182,7.1825e-4,3.34652e-4,0.031852784,0.041604095
"EA","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",-0.015557998,0.011796386,0.187210505,0.425444428,-0.018512425,0.001414674,4.03e-39,2.14e-37
